letters,form,cisi_number,site,iconography,position,seal_id,upos,xpos,letter_label_encoded,prefix,vowel,morpheme boundary,noun,verb,FormWithoutLemma,Counts,MorphemeSeparated,prefix_label_encoded
M328,seal_0004,M-0002,Mohenjo-daro,zebu bull,2,4,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M099,seal_0004,M-0002,Mohenjo-daro,zebu bull,3,4,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M125,seal_0004,M-0002,Mohenjo-daro,zebu bull,4,4,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M089,seal_0004,M-0002,Mohenjo-daro,zebu bull,5,4,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M059,seal_0005,H-0003,Harappa,unicorn,0,5,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M059,seal_0005,H-0003,Harappa,unicorn,1,5,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M004,seal_0006,M-0003,Mohenjo-daro,zebu bull,0,6,SIGN,INDUS,4,,,1,0,0,M004,1,M004,0
M391,seal_0006,M-0003,Mohenjo-daro,zebu bull,1,6,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M099,seal_0006,M-0003,Mohenjo-daro,zebu bull,2,6,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M012,seal_0007,K-0001,Kalibangan,elephant,0,7,SIGN,INDUS,12,,,1,0,0,M012,1,M012,0
M183,seal_0007,K-0001,Kalibangan,elephant,1,7,SIGN,INDUS,183,,,0,0,0,M183,1,M183,0
M391,seal_0007,K-0001,Kalibangan,elephant,2,7,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M048,seal_0007,K-0001,Kalibangan,elephant,3,7,SIGN,INDUS,48,,,0,0,0,M048,1,M048,0
M048,seal_0008,M-0004,Mohenjo-daro,unicorn,0,8,SIGN,INDUS,48,,,1,0,0,M048,1,M048,0
M328,seal_0008,M-0004,Mohenjo-daro,unicorn,1,8,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M328,seal_0008,M-0004,Mohenjo-daro,unicorn,2,8,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M008,seal_0009,BN-0001,Banawali,zebu bull,0,9,SIGN,INDUS,8,,,1,0,0,M008,1,M008,0
M328,seal_0009,BN-0001,Banawali,zebu bull,1,9,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M277,seal_0009,BN-0001,Banawali,zebu bull,2,9,SIGN,INDUS,277,,,0,0,0,M277,1,M277,0
M211,seal_0009,BN-0001,Banawali,zebu bull,3,9,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M028,seal_0010,M-0005,Mohenjo-daro,unicorn,0,10,SIGN,INDUS,28,,,1,0,0,M028,1,M028,0
M211,seal_0010,M-0005,Mohenjo-daro,unicorn,1,10,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M342,seal_0010,M-0005,Mohenjo-daro,unicorn,2,10,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M391,seal_0010,M-0005,Mohenjo-daro,unicorn,3,10,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M226,seal_0010,M-0005,Mohenjo-daro,unicorn,4,10,SIGN,INDUS,226,,,0,0,0,M226,1,M226,0
M125,seal_0010,M-0005,Mohenjo-daro,unicorn,5,10,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M051,seal_0010,M-0005,Mohenjo-daro,unicorn,6,10,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M014,seal_0011,H-0004,Harappa,unicorn,0,11,SIGN,INDUS,14,,,1,0,0,M014,1,M014,0
M162,seal_0011,H-0004,Harappa,unicorn,1,11,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M342,seal_0011,H-0004,Harappa,unicorn,2,11,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0011,H-0004,Harappa,unicorn,3,11,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M099,seal_0011,H-0004,Harappa,unicorn,4,11,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M125,seal_0011,H-0004,Harappa,unicorn,5,11,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M023,seal_0012,L-0001,Lothal,elephant,0,12,SIGN,INDUS,23,,,1,0,0,M023,1,M023,0
M176,seal_0012,L-0001,Lothal,elephant,1,12,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M099,seal_0012,L-0001,Lothal,elephant,2,12,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M328,seal_0012,L-0001,Lothal,elephant,3,12,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M066,seal_0013,M-0006,Mohenjo-daro,script only,0,13,SIGN,INDUS,66,,,1,0,0,M066,1,M066,0
M162,seal_0013,M-0006,Mohenjo-daro,script only,1,13,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M087,seal_0013,M-0006,Mohenjo-daro,script only,2,13,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M391,seal_0014,C-0001,Chanhu-daro,unicorn,0,14,SIGN,INDUS,391,,,1,0,0,M391,1,M391,0
M267,seal_0014,C-0001,Chanhu-daro,unicorn,1,14,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M342,seal_0014,C-0001,Chanhu-daro,unicorn,2,14,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M077,seal_0015,M-0007,Mohenjo-daro,zebu bull,0,15,SIGN,INDUS,77,,,1,0,0,M077,1,M077,0
M342,seal_0015,M-0007,Mohenjo-daro,zebu bull,1,15,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M162,seal_0015,M-0007,Mohenjo-daro,zebu bull,2,15,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M044,seal_0016,M-0008,Mohenjo-daro,unicorn,0,16,SIGN,INDUS,44,,,1,0,0,M044,1,M044,0
M059,seal_0016,M-0008,Mohenjo-daro,unicorn,1,16,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M267,seal_0016,M-0008,Mohenjo-daro,unicorn,2,16,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M125,seal_0016,M-0008,Mohenjo-daro,unicorn,3,16,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M125,seal_0017,H-0005,Harappa,unicorn,0,17,SIGN,INDUS,125,,,1,0,0,M125,1,M125,0
M267,seal_0017,H-0005,Harappa,unicorn,1,17,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M059,seal_0017,H-0005,Harappa,unicorn,2,17,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M065,seal_0017,H-0005,Harappa,unicorn,3,17,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M001,seal_0018,RGR-0001,Rakhigarhi,unicorn,0,18,SIGN,INDUS,1,,,1,0,0,M001,1,M001,0
M059,seal_0018,RGR-0001,Rakhigarhi,unicorn,1,18,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M401,seal_0018,RGR-0001,Rakhigarhi,unicorn,2,18,SIGN,INDUS,401,,,0,0,0,M401,1,M401,0
M255,seal_0018,RGR-0001,Rakhigarhi,unicorn,3,18,SIGN,INDUS,255,,,0,0,0,M255,1,M255,0
M328,seal_0018,RGR-0001,Rakhigarhi,unicorn,4,18,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M051,seal_0018,RGR-0001,Rakhigarhi,unicorn,5,18,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M222,seal_0018,RGR-0001,Rakhigarhi,unicorn,6,18,SIGN,INDUS,222,,,0,0,0,M222,1,M222,0
M012,seal_0018,RGR-0001,Rakhigarhi,unicorn,7,18,SIGN,INDUS,12,,,0,0,0,M012,1,M012,0
M059,seal_0019,DK-0002,Dholavira,unicorn,0,19,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M267,seal_0019,DK-0002,Dholavira,unicorn,1,19,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M099,seal_0019,DK-0002,Dholavira,unicorn,2,19,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M261,seal_0019,DK-0002,Dholavira,unicorn,3,19,SIGN,INDUS,261,,,0,0,0,M261,1,M261,0
M267,seal_0019,DK-0002,Dholavira,unicorn,4,19,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M071,seal_0020,K-0002,Kalibangan,unicorn,0,20,SIGN,INDUS,71,,,1,0,0,M071,1,M071,0
M267,seal_0020,K-0002,Kalibangan,unicorn,1,20,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M367,seal_0020,K-0002,Kalibangan,unicorn,2,20,SIGN,INDUS,367,,,0,0,0,M367,1,M367,0
M087,seal_0020,K-0002,Kalibangan,unicorn,3,20,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M365,seal_0020,K-0002,Kalibangan,unicorn,4,20,SIGN,INDUS,365,,,0,0,0,M365,1,M365,0
M267,seal_0020,K-0002,Kalibangan,unicorn,5,20,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M060,seal_0021,C-0002,Chanhu-daro,rhinoceros,0,21,SIGN,INDUS,60,,,1,0,0,M060,1,M060,0
M412,seal_0021,C-0002,Chanhu-daro,rhinoceros,1,21,SIGN,INDUS,412,,,0,0,0,M412,1,M412,0
M211,seal_0021,C-0002,Chanhu-daro,rhinoceros,2,21,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M009,seal_0022,M-0009,Mohenjo-daro,tiger,0,22,SIGN,INDUS,9,,,1,0,0,M009,1,M009,0
M267,seal_0022,M-0009,Mohenjo-daro,tiger,1,22,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M342,seal_0022,M-0009,Mohenjo-daro,tiger,2,22,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M342,seal_0022,M-0009,Mohenjo-daro,tiger,3,22,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M367,seal_0022,M-0009,Mohenjo-daro,tiger,4,22,SIGN,INDUS,367,,,0,0,0,M367,1,M367,0
M251,seal_0022,M-0009,Mohenjo-daro,tiger,5,22,SIGN,INDUS,251,,,0,0,0,M251,1,M251,0
M012,seal_0022,M-0009,Mohenjo-daro,tiger,6,22,SIGN,INDUS,12,,,0,0,0,M012,1,M012,0
M018,seal_0023,H-0006,Harappa,unicorn,0,23,SIGN,INDUS,18,,,1,0,0,M018,1,M018,0
M336,seal_0023,H-0006,Harappa,unicorn,1,23,SIGN,INDUS,336,,,0,0,0,M336,1,M336,0
M061,seal_0024,L-0002,Lothal,buffalo,0,24,SIGN,INDUS,61,,,1,0,0,M061,1,M061,0
M267,seal_0024,L-0002,Lothal,buffalo,1,24,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M099,seal_0024,L-0002,Lothal,buffalo,2,24,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M125,seal_0024,L-0002,Lothal,buffalo,3,24,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M067,seal_0025,H-0007,Harappa,rhinoceros,0,25,SIGN,INDUS,67,,,1,0,0,M067,1,M067,0
M181,seal_0025,H-0007,Harappa,rhinoceros,1,25,SIGN,INDUS,181,,,0,0,0,M181,1,M181,0
M051,seal_0025,H-0007,Harappa,rhinoceros,2,25,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M051,seal_0025,H-0007,Harappa,rhinoceros,3,25,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M233,seal_0026,M-0010,Mohenjo-daro,rhinoceros,0,26,SIGN,INDUS,233,,,1,0,0,M233,1,M233,0
M219,seal_0026,M-0010,Mohenjo-daro,rhinoceros,1,26,SIGN,INDUS,219,,,0,0,0,M219,1,M219,0
M158,seal_0026,M-0010,Mohenjo-daro,rhinoceros,2,26,SIGN,INDUS,158,,,0,0,0,M158,1,M158,0
M342,seal_0026,M-0010,Mohenjo-daro,rhinoceros,3,26,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M019,seal_0027,M-0011,Mohenjo-daro,unicorn,0,27,SIGN,INDUS,19,,,1,0,0,M019,1,M019,0
M301,seal_0027,M-0011,Mohenjo-daro,unicorn,1,27,SIGN,INDUS,301,,,0,0,0,M301,1,M301,0
M087,seal_0027,M-0011,Mohenjo-daro,unicorn,2,27,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M176,seal_0028,H-0008,Harappa,unicorn,0,28,SIGN,INDUS,176,,,1,0,0,M176,1,M176,0
M342,seal_0028,H-0008,Harappa,unicorn,1,28,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M233,seal_0028,H-0008,Harappa,unicorn,2,28,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M391,seal_0028,H-0008,Harappa,unicorn,3,28,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M162,seal_0028,H-0008,Harappa,unicorn,4,28,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M342,seal_0028,H-0008,Harappa,unicorn,5,28,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M336,seal_0028,H-0008,Harappa,unicorn,6,28,SIGN,INDUS,336,,,0,0,0,M336,1,M336,0
M267,seal_0029,M-0012,Mohenjo-daro,unicorn,0,29,SIGN,INDUS,267,,,1,0,0,M267,1,M267,0
M099,seal_0029,M-0012,Mohenjo-daro,unicorn,1,29,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M406,seal_0029,M-0012,Mohenjo-daro,unicorn,2,29,SIGN,INDUS,406,,,0,0,0,M406,1,M406,0
M293,seal_0029,M-0012,Mohenjo-daro,unicorn,3,29,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M033,seal_0030,DK-0003,Dholavira,gharial,0,30,SIGN,INDUS,33,,,1,0,0,M033,1,M033,0
M267,seal_0030,DK-0003,Dholavira,gharial,1,30,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M162,seal_0030,DK-0003,Dholavira,gharial,2,30,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M089,seal_0030,DK-0003,Dholavira,gharial,3,30,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M099,seal_0030,DK-0003,Dholavira,gharial,4,30,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M059,seal_0030,DK-0003,Dholavira,gharial,5,30,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M016,seal_0031,M-0013,Mohenjo-daro,elephant,0,31,SIGN,INDUS,16,,,1,0,0,M016,1,M016,0
M342,seal_0031,M-0013,Mohenjo-daro,elephant,1,31,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0031,M-0013,Mohenjo-daro,elephant,2,31,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M125,seal_0031,M-0013,Mohenjo-daro,elephant,3,31,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M233,seal_0031,M-0013,Mohenjo-daro,elephant,4,31,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M022,seal_0032,DK-0004,Dholavira,unicorn,0,32,SIGN,INDUS,22,,,1,0,0,M022,1,M022,0
M342,seal_0032,DK-0004,Dholavira,unicorn,1,32,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0032,DK-0004,Dholavira,unicorn,2,32,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M305,seal_0032,DK-0004,Dholavira,unicorn,3,32,SIGN,INDUS,305,,,0,0,0,M305,1,M305,0
M008,seal_0033,M-0014,Mohenjo-daro,geometric,0,33,SIGN,INDUS,8,,,1,0,0,M008,1,M008,0
M176,seal_0033,M-0014,Mohenjo-daro,geometric,1,33,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M099,seal_0033,M-0014,Mohenjo-daro,geometric,2,33,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M125,seal_0033,M-0014,Mohenjo-daro,geometric,3,33,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M040,seal_0034,M-0015,Mohenjo-daro,unicorn,0,34,SIGN,INDUS,40,,,1,0,0,M040,1,M040,0
M391,seal_0034,M-0015,Mohenjo-daro,unicorn,1,34,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M391,seal_0034,M-0015,Mohenjo-daro,unicorn,2,34,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M233,seal_0034,M-0015,Mohenjo-daro,unicorn,3,34,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M062,seal_0035,M-0016,Mohenjo-daro,zebu bull,0,35,SIGN,INDUS,62,,,1,0,0,M062,1,M062,0
M267,seal_0035,M-0016,Mohenjo-daro,zebu bull,1,35,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M059,seal_0035,M-0016,Mohenjo-daro,zebu bull,2,35,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M099,seal_0035,M-0016,Mohenjo-daro,zebu bull,3,35,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M001,seal_0036,M-0017,Mohenjo-daro,zebu bull,0,36,SIGN,INDUS,1,,,1,0,0,M001,1,M001,0
M287,seal_0036,M-0017,Mohenjo-daro,zebu bull,1,36,SIGN,INDUS,287,,,0,0,0,M287,1,M287,0
M305,seal_0036,M-0017,Mohenjo-daro,zebu bull,2,36,SIGN,INDUS,305,,,0,0,0,M305,1,M305,0
M026,seal_0037,SK-0001,Surkotada,zebu bull,0,37,SIGN,INDUS,26,,,1,0,0,M026,1,M026,0
M293,seal_0037,SK-0001,Surkotada,zebu bull,1,37,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M267,seal_0037,SK-0001,Surkotada,zebu bull,2,37,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M099,seal_0037,SK-0001,Surkotada,zebu bull,3,37,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M065,seal_0037,SK-0001,Surkotada,zebu bull,4,37,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M211,seal_0038,M-0018,Mohenjo-daro,rhinoceros,0,38,SIGN,INDUS,211,,,1,0,0,M211,1,M211,0
M099,seal_0038,M-0018,Mohenjo-daro,rhinoceros,1,38,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M328,seal_0038,M-0018,Mohenjo-daro,rhinoceros,2,38,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M023,seal_0039,H-0009,Harappa,script only,0,39,SIGN,INDUS,23,,,1,0,0,M023,1,M023,0
M379,seal_0039,H-0009,Harappa,script only,1,39,SIGN,INDUS,379,,,0,0,0,M379,1,M379,0
M125,seal_0039,H-0009,Harappa,script only,2,39,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M058,seal_0040,M-0019,Mohenjo-daro,script only,0,40,SIGN,INDUS,58,,,1,0,0,M058,1,M058,0
M176,seal_0040,M-0019,Mohenjo-daro,script only,1,40,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M211,seal_0040,M-0019,Mohenjo-daro,script only,2,40,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M099,seal_0040,M-0019,Mohenjo-daro,script only,3,40,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M024,seal_0041,M-0020,Mohenjo-daro,unicorn,0,41,SIGN,INDUS,24,,,1,0,0,M024,1,M024,0
M267,seal_0041,M-0020,Mohenjo-daro,unicorn,1,41,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M051,seal_0042,L-0003,Lothal,rhinoceros,0,42,SIGN,INDUS,51,,,1,0,0,M051,1,M051,0
M214,seal_0042,L-0003,Lothal,rhinoceros,1,42,SIGN,INDUS,214,,,0,0,0,M214,1,M214,0
M233,seal_0042,L-0003,Lothal,rhinoceros,2,42,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M089,seal_0042,L-0003,Lothal,rhinoceros,3,42,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M051,seal_0042,L-0003,Lothal,rhinoceros,4,42,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M035,seal_0043,H-0010,Harappa,zebu bull,0,43,SIGN,INDUS,35,,,1,0,0,M035,1,M035,0
M089,seal_0043,H-0010,Harappa,zebu bull,1,43,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M034,seal_0044,M-0021,Mohenjo-daro,rhinoceros,0,44,SIGN,INDUS,34,,,1,0,0,M034,1,M034,0
M151,seal_0044,M-0021,Mohenjo-daro,rhinoceros,1,44,SIGN,INDUS,151,,,0,0,0,M151,1,M151,0
M048,seal_0044,M-0021,Mohenjo-daro,rhinoceros,2,44,SIGN,INDUS,48,,,0,0,0,M048,1,M048,0
M059,seal_0044,M-0021,Mohenjo-daro,rhinoceros,3,44,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M059,seal_0045,M-0022,Mohenjo-daro,unicorn,0,45,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M267,seal_0045,M-0022,Mohenjo-daro,unicorn,1,45,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M328,seal_0045,M-0022,Mohenjo-daro,unicorn,2,45,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M012,seal_0045,M-0022,Mohenjo-daro,unicorn,3,45,SIGN,INDUS,12,,,0,0,0,M012,1,M012,0
M024,seal_0046,H-0011,Harappa,zebu bull,0,46,SIGN,INDUS,24,,,1,0,0,M024,1,M024,0
M211,seal_0046,H-0011,Harappa,zebu bull,1,46,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M023,seal_0047,BN-0002,Banawali,unicorn,0,47,SIGN,INDUS,23,,,1,0,0,M023,1,M023,0
M099,seal_0047,BN-0002,Banawali,unicorn,1,47,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M125,seal_0047,BN-0002,Banawali,unicorn,2,47,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M059,seal_0048,BN-0003,Banawali,unicorn,0,48,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M267,seal_0048,BN-0003,Banawali,unicorn,1,48,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M099,seal_0048,BN-0003,Banawali,unicorn,2,48,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M342,seal_0048,BN-0003,Banawali,unicorn,3,48,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M387,seal_0048,BN-0003,Banawali,unicorn,4,48,SIGN,INDUS,387,,,0,0,0,M387,1,M387,0
M125,seal_0048,BN-0003,Banawali,unicorn,5,48,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M069,seal_0049,L-0004,Lothal,elephant,0,49,SIGN,INDUS,69,,,1,0,0,M069,1,M069,0
M391,seal_0049,L-0004,Lothal,elephant,1,49,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M293,seal_0049,L-0004,Lothal,elephant,2,49,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M328,seal_0049,L-0004,Lothal,elephant,3,49,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M039,seal_0050,M-0023,Mohenjo-daro,elephant,0,50,SIGN,INDUS,39,,,1,0,0,M039,1,M039,0
M211,seal_0050,M-0023,Mohenjo-daro,elephant,1,50,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M075,seal_0051,C-0003,Chanhu-daro,zebu bull,0,51,SIGN,INDUS,75,,,1,0,0,M075,1,M075,0
M267,seal_0051,C-0003,Chanhu-daro,zebu bull,1,51,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M211,seal_0051,C-0003,Chanhu-daro,zebu bull,2,51,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M342,seal_0051,C-0003,Chanhu-daro,zebu bull,3,51,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M048,seal_0051,C-0003,Chanhu-daro,zebu bull,4,51,SIGN,INDUS,48,,,0,0,0,M048,1,M048,0
M027,seal_0052,L-0005,Lothal,buffalo,0,52,SIGN,INDUS,27,,,1,0,0,M027,1,M027,0
M099,seal_0052,L-0005,Lothal,buffalo,1,52,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M233,seal_0052,L-0005,Lothal,buffalo,2,52,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M125,seal_0053,H-0012,Harappa,geometric,0,53,SIGN,INDUS,125,,,1,0,0,M125,1,M125,0
M347,seal_0053,H-0012,Harappa,geometric,1,53,SIGN,INDUS,347,,,0,0,0,M347,1,M347,0
M048,seal_0053,H-0012,Harappa,geometric,2,53,SIGN,INDUS,48,,,0,0,0,M048,1,M048,0
M233,seal_0053,H-0012,Harappa,geometric,3,53,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M074,seal_0054,H-0013,Harappa,rhinoceros,0,54,SIGN,INDUS,74,,,1,0,0,M074,1,M074,0
M267,seal_0054,H-0013,Harappa,rhinoceros,1,54,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M342,seal_0054,H-0013,Harappa,rhinoceros,2,54,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M342,seal_0054,H-0013,Harappa,rhinoceros,3,54,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M162,seal_0054,H-0013,Harappa,rhinoceros,4,54,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M062,seal_0055,M-0024,Mohenjo-daro,zebu bull,0,55,SIGN,INDUS,62,,,1,0,0,M062,1,M062,0
M131,seal_0055,M-0024,Mohenjo-daro,zebu bull,1,55,SIGN,INDUS,131,,,0,0,0,M131,1,M131,0
M165,seal_0055,M-0024,Mohenjo-daro,zebu bull,2,55,SIGN,INDUS,165,,,0,0,0,M165,1,M165,0
