cisi_number,site,inscription,role_pattern,avg_confidence,has_classifier_prefix,has_case_marker_suffix,contains_m059,length,iconography
BN-0023,Banawali,M035 M233 M336 M089 M211 M342 M249,CLASSIFIER → WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.646,True,True,False,7,unicorn
BN-0024,Banawali,M176 M099 M342 M267 M162 M367 M367 M233,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.551,False,True,False,8,script only
BN-0025,Banawali,M010 M328,CLASSIFIER → RELATIONAL_MARKER,0.648,True,False,False,2,zebu bull
BN-0026,Banawali,M064 M328 M089,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.56,True,False,False,3,unicorn
BN-0027,Banawali,M342 M328,RELATIONAL_MARKER → RELATIONAL_MARKER,0.547,False,False,False,2,unicorn
BN-0028,Banawali,M020 M403 M012 M336 M249,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.537,True,True,False,5,rhinoceros
BN-0029,Banawali,M021 M328 M267 M220,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.698,True,True,False,4,unicorn
BN-0030,Banawali,M077 M360 M186 M328 M342 M367 M220,CLASSIFIER → UNK → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.477,True,True,False,7,unicorn
BN-0031,Banawali,M089 M233 M246 M162 M099,RELATIONAL_MARKER → WEAK_CASE_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.444,False,False,False,5,elephant
BN-0032,Banawali,M006 M288 M262 M375 M211 M267,CLASSIFIER → UNK → FLEXIBLE_AGENT → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.462,True,False,False,6,tiger
BN-0033,Banawali,M048 M169 M162 M111 M162 M089 M267,RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.419,False,False,False,7,unicorn
BN-0034,Banawali,M079 M293,CLASSIFIER → RELATIONAL_MARKER,0.698,True,False,False,2,unicorn
BN-0035,Banawali,M073 M220,CLASSIFIER → CASE_MARKER,0.933,True,True,False,2,zebu bull
BN-0036,Banawali,M023 M099 M111 M305,CLASSIFIER → RELATIONAL_MARKER → UNK → CASE_MARKER,0.573,True,True,False,4,zebu bull
BN-0037,Banawali,M065 M328,RELATIONAL_MARKER → RELATIONAL_MARKER,0.478,False,False,False,2,buffalo
BN-0038,Banawali,M026 M342 M211 M293 M293 M211 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.627,True,False,True,7,zebu bull
BN-0039,Banawali,M009 M351 M176 M051,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.566,True,False,False,4,unicorn
BN-0040,Banawali,M005 M211 M342 M367,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.587,True,False,False,4,geometric
BN-0041,Banawali,M078 M267 M342 M293 M267 M211,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.586,True,False,False,6,unicorn
BN-0042,Banawali,M070 M143 M342 M099 M342 M087,CLASSIFIER → CORE_ENTITY → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.563,True,False,False,6,buffalo
BN-0043,Banawali,M051 M342 M176 M099 M336,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.526,False,False,False,5,unicorn
BN-0044,Banawali,M176 M099 M267 M099 M342 M267 M099,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.561,False,False,False,7,zebu bull
BN-0045,Banawali,M022 M249,CLASSIFIER → CASE_MARKER,0.911,True,True,False,2,buffalo
BN-0046,Banawali,M042 M087,CLASSIFIER → RELATIONAL_MARKER,0.599,True,False,False,2,elephant
BN-0047,Banawali,M027 M367,CLASSIFIER → RELATIONAL_MARKER,0.639,True,False,False,2,script only
BN-0048,Banawali,M069 M048,CLASSIFIER → RELATIONAL_MARKER,0.626,True,False,False,2,script only
BN-0049,Banawali,M080 M328 M143 M099 M099,CLASSIFIER → RELATIONAL_MARKER → CORE_ENTITY → RELATIONAL_MARKER → RELATIONAL_MARKER,0.56,True,False,False,5,zebu bull
BN-0050,Banawali,M211 M325 M252 M187 M065 M267,RELATIONAL_MARKER → UNK → FLEXIBLE_AGENT → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.332,False,False,False,6,buffalo
BN-0051,Banawali,M038 M391 M293 M274 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → HUB_AUTHORITY,0.555,True,False,True,5,zebu bull
BN-0052,Banawali,M048 M220,RELATIONAL_MARKER → CASE_MARKER,0.706,False,True,False,2,unicorn
BN-0053,Banawali,M015 M193 M293 M048,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.432,True,False,False,4,zebu bull
BN-0054,Banawali,M099 M099,RELATIONAL_MARKER → RELATIONAL_MARKER,0.556,False,False,False,2,script only
BN-0055,Banawali,M013 M176 M099 M233,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.675,True,True,False,4,zebu bull
BN-0056,Banawali,M007 M168 M089 M391,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.533,True,False,False,4,unicorn
BN-0057,Banawali,M011 M233 M342 M087 M012,CLASSIFIER → WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.599,True,False,False,5,zebu bull
BN-0058,Banawali,M022 M051,CLASSIFIER → RELATIONAL_MARKER,0.67,True,False,False,2,zebu bull
BN-0059,Banawali,M051 M342 M176 M162 M051,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.511,False,False,False,5,zebu bull
BN-0060,Banawali,M058 M059 M233 M233 M087,CLASSIFIER → HUB_AUTHORITY → WEAK_CASE_MARKER → WEAK_CASE_MARKER → RELATIONAL_MARKER,0.748,True,False,True,5,buffalo
C-0001,Chanhu-daro,M391 M267 M342,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.546,False,False,False,3,unicorn
C-0002,Chanhu-daro,M060 M412 M211,CLASSIFIER → CORE_ENTITY → RELATIONAL_MARKER,0.57,True,False,False,3,rhinoceros
C-0003,Chanhu-daro,M075 M267 M211 M342 M048,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.576,True,False,False,5,zebu bull
C-0004,Chanhu-daro,M024 M178 M125 M336,CLASSIFIER → CORE_ENTITY → WEAK_CASE_MARKER → RELATIONAL_MARKER,0.574,True,False,False,4,unicorn
C-0005,Chanhu-daro,M062 M059 M127 M089,CLASSIFIER → HUB_AUTHORITY → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.724,True,False,True,4,zebu bull
C-0006,Chanhu-daro,M042 M162 M367 M339 M309 M211 M051,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.381,True,False,False,7,unicorn
C-0007,Chanhu-daro,M070 M367 M267,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.613,True,False,False,3,zebu bull
C-0008,Chanhu-daro,M024 M125,CLASSIFIER → WEAK_CASE_MARKER,0.733,True,True,False,2,zebu bull
C-0009,Chanhu-daro,M367 M342 M176 M162 M233,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.563,False,True,False,5,unicorn
C-0010,Chanhu-daro,M070 M123 M137 M249,CLASSIFIER → UNK → CORE_ENTITY → CASE_MARKER,0.529,True,True,False,4,gharial
C-0011,Chanhu-daro,M267 M367 M305,RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.661,False,True,False,3,unicorn
C-0012,Chanhu-daro,M051 M087 M065 M294 M089,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.369,False,False,False,5,zebu bull
C-0013,Chanhu-daro,M012 M391,RELATIONAL_MARKER → RELATIONAL_MARKER,0.467,False,False,False,2,elephant
C-0014,Chanhu-daro,M003 M236 M176,CLASSIFIER → UNK → RELATIONAL_MARKER,0.458,True,False,False,3,zebu bull
C-0015,Chanhu-daro,M071 M065,CLASSIFIER → RELATIONAL_MARKER,0.625,True,False,False,2,buffalo
C-0016,Chanhu-daro,M053 M211 M256 M342 M012,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.478,True,False,False,5,rhinoceros
C-0017,Chanhu-daro,M058 M342 M176 M328,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.624,True,False,False,4,unicorn
C-0018,Chanhu-daro,M012 M342 M233,RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.59,False,True,False,3,unicorn
C-0019,Chanhu-daro,M005 M342 M176 M336,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.595,True,False,False,4,rhinoceros
C-0020,Chanhu-daro,M065 M176 M367,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.493,False,False,False,3,unicorn
C-0021,Chanhu-daro,M267 M259 M181 M221 M410 M278 M089,RELATIONAL_MARKER → UNK → UNK → UNK → UNK → UNK → RELATIONAL_MARKER,0.147,False,False,False,7,unicorn
C-0022,Chanhu-daro,M057 M284 M142 M089 M065,CLASSIFIER → UNK → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.349,True,False,False,5,zebu bull
C-0023,Chanhu-daro,M003 M342 M129 M367 M391,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.477,True,False,False,5,unicorn
C-0024,Chanhu-daro,M056 M125 M329 M336,CLASSIFIER → WEAK_CASE_MARKER → CORE_ENTITY → RELATIONAL_MARKER,0.595,True,False,False,4,unicorn
C-0025,Chanhu-daro,M001 M162 M051 M267 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.653,True,False,True,5,script only
C-0026,Chanhu-daro,M057 M336 M305,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.743,True,True,False,3,zebu bull
C-0027,Chanhu-daro,M037 M267 M220,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.766,True,True,False,3,elephant
C-0028,Chanhu-daro,M176 M249 M383 M367 M051,RELATIONAL_MARKER → CASE_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.581,False,False,False,5,unicorn
C-0029,Chanhu-daro,M014 M336,CLASSIFIER → RELATIONAL_MARKER,0.634,True,False,False,2,geometric
C-0030,Chanhu-daro,M061 M089,CLASSIFIER → RELATIONAL_MARKER,0.671,True,False,False,2,script only
C-0031,Chanhu-daro,M087 M342 M176 M099 M342 M176 M267 M391,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.541,False,False,False,8,unicorn
C-0032,Chanhu-daro,M034 M211 M099,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.619,True,False,False,3,zebu bull
C-0033,Chanhu-daro,M050 M293 M260 M099 M176 M099,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.492,True,False,False,6,script only
C-0034,Chanhu-daro,M070 M342 M125 M155 M342,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.638,True,False,False,5,geometric
C-0035,Chanhu-daro,M038 M099,CLASSIFIER → RELATIONAL_MARKER,0.679,True,False,False,2,unicorn
C-0036,Chanhu-daro,M037 M267 M398 M342 M176,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.498,True,False,False,5,rhinoceros
C-0037,Chanhu-daro,M030 M370 M065,CLASSIFIER → UNK → RELATIONAL_MARKER,0.426,True,False,False,3,unicorn
C-0038,Chanhu-daro,M034 M267 M099 M012,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.594,True,False,False,4,zebu bull
C-0039,Chanhu-daro,M079 M356 M211 M051,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.467,True,False,False,4,elephant
C-0040,Chanhu-daro,M052 M267 M162 M012,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.593,True,False,False,4,zebu bull
C-0041,Chanhu-daro,M010 M293 M149 M089 M342 M267 M328,CLASSIFIER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.556,True,False,False,7,elephant
C-0042,Chanhu-daro,M048 M391 M233 M233,RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER → WEAK_CASE_MARKER,0.592,False,True,False,4,unicorn
C-0043,Chanhu-daro,M367 M267 M099 M367,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.517,False,False,False,4,zebu bull
C-0044,Chanhu-daro,M070 M176 M305,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.764,True,True,False,3,unicorn
C-0045,Chanhu-daro,M010 M087 M211 M367,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.558,True,False,False,4,unicorn
C-0046,Chanhu-daro,M046 M303 M342 M391 M099,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.47,True,False,False,5,geometric
C-0047,Chanhu-daro,M052 M293 M267 M293,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.605,True,False,False,4,rhinoceros
C-0048,Chanhu-daro,M068 M336 M051 M293 M249,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.623,True,True,False,5,rhinoceros
C-0049,Chanhu-daro,M037 M268 M087,CLASSIFIER → UNK → RELATIONAL_MARKER,0.414,True,False,False,3,geometric
C-0050,Chanhu-daro,M057 M164 M342 M249,CLASSIFIER → UNK → RELATIONAL_MARKER → CASE_MARKER,0.591,True,True,False,4,zebu bull
C-0051,Chanhu-daro,M052 M367 M293 M267 M176 M267,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.584,True,False,False,6,zebu bull
C-0052,Chanhu-daro,M011 M342 M267 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.734,True,False,True,4,buffalo
C-0053,Chanhu-daro,M099 M336 M342 M211 M391,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.519,False,False,False,5,tiger
C-0054,Chanhu-daro,M233 M153 M176 M367,WEAK_CASE_MARKER → CORE_ENTITY → RELATIONAL_MARKER → RELATIONAL_MARKER,0.525,False,False,False,4,elephant
C-0055,Chanhu-daro,M080 M125 M160 M267 M293 M305,CLASSIFIER → WEAK_CASE_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.592,True,True,False,6,unicorn
C-0056,Chanhu-daro,M034 M233,CLASSIFIER → WEAK_CASE_MARKER,0.758,True,True,False,2,elephant
C-0057,Chanhu-daro,M075 M267,CLASSIFIER → RELATIONAL_MARKER,0.66,True,False,False,2,rhinoceros
C-0058,Chanhu-daro,M059 M267 M099 M328,HUB_AUTHORITY → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.652,False,False,True,4,unicorn
C-0059,Chanhu-daro,M074 M176 M267 M220,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.696,True,True,False,4,gharial
C-0060,Chanhu-daro,M011 M157 M087,CLASSIFIER → UNK → RELATIONAL_MARKER,0.409,True,False,False,3,zebu bull
C-0061,Chanhu-daro,M233 M176 M367,WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.577,False,False,False,3,unicorn
C-0062,Chanhu-daro,M072 M087 M176 M162,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.552,True,False,False,4,zebu bull
C-0063,Chanhu-daro,M079 M176 M391,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.641,True,False,False,3,rhinoceros
C-0064,Chanhu-daro,M176 M351 M267 M089 M347 M348 M391 M220,RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER → FLEXIBLE_AGENT → UNK → RELATIONAL_MARKER → CASE_MARKER,0.493,False,True,False,8,geometric
C-0065,Chanhu-daro,M077 M211,CLASSIFIER → RELATIONAL_MARKER,0.658,True,False,False,2,zebu bull
C-0066,Chanhu-daro,M267 M233 M328 M185 M328 M267 M125 M233,RELATIONAL_MARKER → WEAK_CASE_MARKER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER → WEAK_CASE_MARKER,0.591,False,True,False,8,unicorn
C-0067,Chanhu-daro,M023 M089 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.573,True,False,False,3,zebu bull
C-0068,Chanhu-daro,M336 M305,RELATIONAL_MARKER → CASE_MARKER,0.706,False,True,False,2,zebu bull
C-0069,Chanhu-daro,M004 M249,CLASSIFIER → CASE_MARKER,0.875,True,True,False,2,unicorn
C-0070,Chanhu-daro,M062 M391 M267 M099 M288 M087,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.501,True,False,False,6,zebu bull
C-0071,Chanhu-daro,M079 M342 M328 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.749,True,False,True,4,script only
C-0072,Chanhu-daro,M031 M356 M211 M342 M125,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.522,True,True,False,5,zebu bull
C-0073,Chanhu-daro,M080 M293 M267 M099 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.58,True,False,False,5,buffalo
C-0074,Chanhu-daro,M044 M211 M099,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.629,True,False,False,3,unicorn
C-0075,Chanhu-daro,M041 M048,CLASSIFIER → RELATIONAL_MARKER,0.633,True,False,False,2,unicorn
C-0076,Chanhu-daro,M043 M211 M176,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.586,True,False,False,3,script only
C-0077,Chanhu-daro,M078 M089,CLASSIFIER → RELATIONAL_MARKER,0.636,True,False,False,2,unicorn
C-0078,Chanhu-daro,M006 M162 M305,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.735,True,True,False,3,unicorn
DK-0001,Dholavira,M062 M162 M267,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.667,True,False,False,3,zebu bull
DK-0002,Dholavira,M059 M267 M099 M261 M267,HUB_AUTHORITY → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.535,False,False,True,5,unicorn
DK-0003,Dholavira,M033 M267 M162 M089 M099 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.633,True,False,True,6,gharial
DK-0004,Dholavira,M022 M342 M176 M305,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.741,True,True,False,4,unicorn
DK-0005,Dholavira,M391 M380 M116 M089,RELATIONAL_MARKER → UNK → UNK → RELATIONAL_MARKER,0.236,False,False,False,4,unicorn
DK-0006,Dholavira,M016 M211 M342 M336,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.613,True,False,False,4,elephant
DK-0007,Dholavira,M075 M162 M211 M233 M328 M051,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.569,True,False,False,6,unicorn
DK-0008,Dholavira,M099 M134 M201 M233,RELATIONAL_MARKER → UNK → UNK → WEAK_CASE_MARKER,0.317,False,True,False,4,tiger
DK-0009,Dholavira,M065 M012 M267 M099 M176 M367,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.509,False,False,False,6,unicorn
DK-0010,Dholavira,M079 M267 M099 M391 M211,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.599,True,False,False,5,unicorn
DK-0011,Dholavira,M059 M192 M051,HUB_AUTHORITY → UNK → RELATIONAL_MARKER,0.488,False,False,True,3,unicorn
DK-0012,Dholavira,M047 M065 M367 M202 M293,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.435,True,False,False,5,unicorn
DK-0013,Dholavira,M039 M342 M328 M233,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.656,True,True,False,4,elephant
DK-0014,Dholavira,M052 M211 M051,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.613,True,False,False,3,geometric
DK-0015,Dholavira,M099 M399 M065 M342 M176,RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.432,False,False,False,5,unicorn
DK-0016,Dholavira,M080 M162,CLASSIFIER → RELATIONAL_MARKER,0.657,True,False,False,2,elephant
DK-0017,Dholavira,M057 M406 M065,CLASSIFIER → UNK → RELATIONAL_MARKER,0.426,True,False,False,3,zebu bull
DK-0018,Dholavira,M065 M176 M233,RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.573,False,True,False,3,buffalo
