form,cisi_number,site,iconography,raw_sequence,role_sequence,cluster_sequence,length
seal_131,H-0048,Harappa,tiger,M029 M220,START END,2 1,2
seal_132,M-0046,Mohenjo-daro,script only,M010 M087 M281 M048,START END CORE END,2 1 0 1,4
seal_133,L-0012,Lothal,rhinoceros,M068 M203 M350 M367,START CORE CORE END,2 0 0 1,4
seal_134,BN-0004,Banawali,unicorn,M012 M328 M267 M328,END END END END,1 1 3 1,4
seal_135,H-0049,Harappa,unicorn,M391 M405 M099 M341 M336 M391,END CORE END CORE END END,1 0 3 0 1 1,6
seal_136,H-0050,Harappa,geometric,M003 M328 M249,START END END,2 1 1,3
seal_137,DK-0009,Dholavira,unicorn,M065 M012 M267 M099 M176 M367,END END END END END END,1 1 3 3 3 1,6
seal_138,M-0047,Mohenjo-daro,script only,M211 M162,END END,1 1,2
seal_139,RGR-0003,Rakhigarhi,script only,M029 M386 M328 M211,START LINK END END,2 0 1 1,4
seal_140,DK-0010,Dholavira,unicorn,M079 M267 M099 M391 M211,START END END END END,2 3 3 1 1,5
seal_141,SK-0005,Surkotada,elephant,M045 M207 M048 M178 M342 M240 M342 M391,START CORE END CORE END CORE END END,2 0 1 0 3 0 3 1,8
seal_142,L-0013,Lothal,unicorn,M059 M293 M391,LINK END END,1 1 1,3
seal_143,M-0048,Mohenjo-daro,buffalo,M031 M267 M293 M267 M336 M342 M051,START END END END END END END,2 3 1 3 1 3 1,7
seal_144,H-0051,Harappa,rhinoceros,M060 M330 M233,START CORE END,2 0 1,3
seal_145,H-0052,Harappa,unicorn,M063 M211 M323 M303 M065,START END CORE CORE END,2 1 0 0 1,5
seal_146,M-0049,Mohenjo-daro,tiger,M065 M099 M406 M105 M125,END END CORE CORE END,1 3 0 0 1,5
seal_147,M-0050,Mohenjo-daro,zebu bull,M011 M051 M328 M267 M099,START END END END END,2 1 1 3 3,5
seal_148,H-0053,Harappa,script only,M013 M163 M293 M305 M267 M391 M280 M211,START CORE END END END END CORE END,2 0 1 1 3 1 0 1,8
seal_149,M-0051,Mohenjo-daro,zebu bull,M057 M293 M272 M211 M087,START END LINK END END,2 1 0 1 1,5
seal_150,H-0054,Harappa,script only,M027 M211 M309 M051,START END CORE END,2 1 0 1,4
seal_151,M-0052,Mohenjo-daro,unicorn,M064 M351 M211 M051,START CORE END END,2 0 1 1,4
seal_152,H-0055,Harappa,zebu bull,M009 M146 M195 M089,START CORE CORE END,2 0 0 1,4
seal_153,H-0056,Harappa,unicorn,M072 M264 M367,START CORE END,2 0 1,3
seal_154,M-0053,Mohenjo-daro,elephant,M045 M382 M272 M059 M051,START CORE LINK LINK END,2 0 0 1 1,5
seal_155,H-0057,Harappa,geometric,M020 M089,START END,2 1,2
seal_156,H-0058,Harappa,unicorn,M002 M162,START END,2 1,2
seal_157,M-0054,Mohenjo-daro,unicorn,M026 M267 M267 M099,START END END END,2 3 3 3,4
seal_158,M-0055,Mohenjo-daro,unicorn,M075 M176,START END,2 3,2
seal_159,H-0059,Harappa,unicorn,M032 M367 M213 M367,START END CORE END,2 1 0 1,4
seal_160,K-0007,Kalibangan,geometric,M080 M328 M233 M280 M342 M048,START END END CORE END END,2 1 1 0 3 1,6
seal_161,BN-0005,Banawali,gharial,M019 M087 M324 M233,START END CORE END,2 1 0 1,4
seal_162,K-0008,Kalibangan,zebu bull,M022 M176 M293,START END END,2 3 1,3
seal_163,H-0060,Harappa,zebu bull,M054 M089 M342 M125,START END END END,2 1 3 1,4
seal_164,K-0009,Kalibangan,tiger,M020 M176 M202 M012 M367,START END CORE END END,2 3 0 1 1,5
seal_165,C-0006,Chanhu-daro,unicorn,M042 M162 M367 M339 M309 M211 M051,START END END CORE CORE END END,2 1 1 0 0 1 1,7
seal_166,H-0061,Harappa,unicorn,M069 M125 M065 M193 M099 M293 M342 M342,START END END CORE END END END END,2 1 1 0 3 1 3 3,8
seal_167,H-0062,Harappa,elephant,M045 M328 M101 M108 M162,START END CORE CORE END,2 1 0 0 1,5
seal_168,M-0056,Mohenjo-daro,geometric,M043 M328 M367 M367,START END END END,2 1 1 1,4
seal_169,H-0063,Harappa,zebu bull,M044 M342 M176 M099 M162,START END END END END,2 3 3 3 1,5
seal_170,M-0057,Mohenjo-daro,unicorn,M342 M176 M367 M065,END END END END,3 3 1 1,4
seal_171,K-0010,Kalibangan,unicorn,M020 M391 M382 M328,START END CORE END,2 1 0 1,4
seal_172,H-0064,Harappa,zebu bull,M050 M169 M267 M336,START LINK END END,2 0 3 1,4
seal_173,RGR-0004,Rakhigarhi,unicorn,M001 M059 M367,START LINK END,2 1 1,3
seal_174,M-0058,Mohenjo-daro,unicorn,M055 M051 M336,START END END,2 1 1,3
seal_175,M-0059,Mohenjo-daro,unicorn,M089 M267 M359 M370 M012,END END CORE CORE END,1 3 0 0 1,5
seal_176,H-0065,Harappa,unicorn,M066 M342 M065 M316 M162,START END END CORE END,2 3 1 0 1,5
seal_177,H-0066,Harappa,gharial,M004 M176,START END,2 3,2
seal_178,M-0060,Mohenjo-daro,script only,M233 M051 M233 M218 M176 M176 M065,END END END CORE END END END,1 1 1 0 3 3 1,7
seal_179,H-0067,Harappa,buffalo,M011 M251 M124 M089,START CORE CORE END,2 0 0 1,4
seal_180,M-0061,Mohenjo-daro,elephant,M026 M059 M328 M391,START LINK END END,2 1 1 1,4
seal_181,M-0062,Mohenjo-daro,unicorn,M336 M162 M233 M099 M059,END END END END LINK,1 1 1 3 1,5
seal_182,H-0068,Harappa,elephant,M021 M211 M342 M162 M367 M194 M336,START END END END END CORE END,2 1 3 1 1 0 1,7
seal_183,M-0063,Mohenjo-daro,unicorn,M391 M342 M211 M065,END END END END,1 3 1 1,4
seal_184,RGR-0005,Rakhigarhi,unicorn,M036 M099 M051 M367,START END END END,2 3 1 1,4
seal_185,L-0014,Lothal,zebu bull,M021 M176 M099 M065 M342 M328 M336,START END END END END END END,2 3 3 1 3 1 1,7
seal_186,H-0069,Harappa,geometric,M328 M099 M111 M059 M099,END END CORE LINK END,1 3 0 1 3,5
seal_187,SK-0006,Surkotada,script only,M022 M231 M176 M051,START CORE END END,2 0 3 1,4
seal_188,M-0064,Mohenjo-daro,elephant,M025 M267 M065 M267 M328,START END END END END,2 3 1 3 1,5
seal_189,DK-0011,Dholavira,unicorn,M059 M192 M051,LINK CORE END,1 0 1,3
seal_190,M-0065,Mohenjo-daro,gharial,M036 M391 M162,START END END,2 1 1,3
seal_191,L-0015,Lothal,rhinoceros,M060 M328 M267 M342 M305,START END END END END,2 1 3 3 1,5
seal_192,C-0007,Chanhu-daro,zebu bull,M070 M367 M267,START END END,2 1 3,3
seal_193,H-0070,Harappa,buffalo,M008 M099 M224 M059 M249,START END CORE LINK END,2 3 0 1 1,5
seal_194,H-0071,Harappa,zebu bull,M012 M128 M267 M342 M087,END LINK END END END,1 0 3 3 1,5
seal_195,H-0072,Harappa,unicorn,M070 M322 M220,START CORE END,2 0 1,3
seal_196,BN-0006,Banawali,unicorn,M014 M176 M367 M328 M336 M059,START END END END END LINK,2 3 1 1 1 1,6
seal_197,K-0011,Kalibangan,geometric,M022 M408 M176 M267 M367 M051,START CORE END END END END,2 0 3 3 1 1,6
seal_198,K-0012,Kalibangan,unicorn,M052 M391 M059 M267 M186 M099,START END LINK END CORE END,2 1 1 3 0 3,6
seal_199,K-0013,Kalibangan,unicorn,M059 M342,LINK END,1 3,2
seal_200,K-0014,Kalibangan,gharial,M052 M012 M051 M342 M059,START END END END LINK,2 1 1 3 1,5
seal_201,M-0066,Mohenjo-daro,zebu bull,M013 M125,START END,2 1,2
seal_202,K-0015,Kalibangan,tiger,M006 M342 M051 M211,START END END END,2 3 1 1,4
seal_203,L-0016,Lothal,elephant,M002 M293 M293 M059 M051,START END END LINK END,2 1 1 1 1,5
seal_204,M-0067,Mohenjo-daro,script only,M004 M089,START END,2 1,2
seal_205,H-0073,Harappa,script only,M052 M237 M272 M065 M048 M305,START LINK LINK END END END,2 0 0 1 1 1,6
seal_206,M-0068,Mohenjo-daro,rhinoceros,M005 M336 M342 M176 M267 M342,START END END END END END,2 1 3 3 3 3,6
seal_207,M-0069,Mohenjo-daro,elephant,M048 M328 M059,END END LINK,1 1 1,3
seal_208,L-0017,Lothal,unicorn,M011 M342 M176 M059,START END END LINK,2 3 3 1,4
seal_209,H-0074,Harappa,buffalo,M082 M051 M120 M342 M321 M342,START END CORE END CORE END,2 1 0 3 0 3,6
seal_210,BN-0007,Banawali,unicorn,M010 M328 M336 M367 M176 M249,START END END END END END,2 1 1 1 3 1,6
seal_211,RGR-0006,Rakhigarhi,script only,M032 M102 M342 M342,START LINK END END,2 0 3 3,4
seal_212,C-0008,Chanhu-daro,zebu bull,M024 M125,START END,2 1,2
seal_213,M-0070,Mohenjo-daro,unicorn,M011 M371 M048 M176 M089,START CORE END END END,2 0 1 3 1,5
seal_214,M-0071,Mohenjo-daro,script only,M081 M301 M099,START CORE END,2 0 3,3
seal_215,M-0072,Mohenjo-daro,zebu bull,M036 M307 M167 M391 M087,START CORE CORE END END,2 0 0 1 1,5
seal_216,M-0073,Mohenjo-daro,unicorn,M013 M293 M238 M367,START END CORE END,2 1 0 1,4
seal_217,H-0075,Harappa,zebu bull,M073 M051,START END,2 1,2
seal_218,H-0076,Harappa,unicorn,M022 M367 M151 M220,START END CORE END,2 1 0 1,4
seal_219,L-0018,Lothal,unicorn,M328 M359 M048,END CORE END,1 0 1,3
seal_220,H-0077,Harappa,elephant,M051 M309 M391,END CORE END,1 0 1,3
seal_221,H-0078,Harappa,unicorn,M022 M276 M220,START CORE END,2 0 1,3
seal_222,C-0009,Chanhu-daro,unicorn,M367 M342 M176 M162 M233,END END END END END,1 3 3 1 1,5
seal_223,H-0079,Harappa,buffalo,M025 M059 M012,START LINK END,2 1 1,3
seal_224,H-0080,Harappa,zebu bull,M003 M099 M328 M267 M281 M099,START END END END CORE END,2 3 1 3 0 3,6
seal_225,H-0081,Harappa,geometric,M036 M293 M267 M051,START END END END,2 1 3 1,4
seal_226,BN-0008,Banawali,rhinoceros,M020 M059 M342 M051 M125,START LINK END END END,2 1 3 1 1,5
seal_227,H-0082,Harappa,tiger,M026 M336 M342 M048 M125,START END END END END,2 1 3 1 1,5
seal_228,L-0019,Lothal,unicorn,M051 M099 M342 M099,END END END END,1 3 3 3,4
seal_229,L-0020,Lothal,rhinoceros,M060 M153 M342 M176,START CORE END END,2 0 3 3,4
seal_230,K-0016,Kalibangan,unicorn,M233 M059 M249,END LINK END,1 1 1,3
seal_231,M-0074,Mohenjo-daro,geometric,M047 M367 M065,START END END,2 1 1,3
seal_232,DK-0012,Dholavira,unicorn,M047 M065 M367 M202 M293,START END END CORE END,2 1 1 0 1,5
seal_233,M-0075,Mohenjo-daro,unicorn,M070 M293 M293,START END END,2 1 1,3
seal_234,M-0076,Mohenjo-daro,elephant,M069 M211 M118 M267 M099 M336,START END CORE END END END,2 1 0 3 3 1,6
seal_235,H-0083,Harappa,zebu bull,M070 M176 M099 M363 M342 M176 M305,START END END CORE END END END,2 3 3 0 3 3 1,7
seal_236,M-0077,Mohenjo-daro,unicorn,M014 M089 M293,START END END,2 1 1,3
seal_237,H-0084,Harappa,zebu bull,M073 M342 M176 M267 M065 M367,START END END END END END,2 3 3 3 1 1,6
seal_238,H-0085,Harappa,buffalo,M020 M012,START END,2 1,2
seal_239,M-0078,Mohenjo-daro,geometric,M014 M396 M235 M177 M391 M048 M336,START CORE LINK CORE END END END,2 0 0 0 1 1 1,7
seal_240,K-0017,Kalibangan,unicorn,M071 M176 M176 M176 M065,START END END END END,2 3 3 3 1,5
seal_241,H-0086,Harappa,unicorn,M070 M233 M246 M293,START END CORE END,2 1 0 1,4
seal_242,DK-0013,Dholavira,elephant,M039 M342 M328 M233,START END END END,2 3 1 1,4
seal_243,M-0079,Mohenjo-daro,script only,M007 M176 M293 M267 M367,START END END END END,2 3 1 3 1,5
seal_244,M-0080,Mohenjo-daro,elephant,M162 M293 M176 M099 M162 M267,END END END END END END,1 1 3 3 1 3,6
seal_245,L-0021,Lothal,unicorn,M050 M211,START END,2 1,2
seal_246,M-0081,Mohenjo-daro,elephant,M074 M048 M162 M232 M342 M107 M099,START END END CORE END CORE END,2 1 1 0 3 0 3,7
seal_247,H-0087,Harappa,unicorn,M267 M059 M342,END LINK END,3 1 3,3
seal_248,BN-0009,Banawali,elephant,M032 M391,START END,2 1,2
seal_249,M-0082,Mohenjo-daro,unicorn,M019 M328 M012,START END END,2 1 1,3
seal_250,H-0088,Harappa,unicorn,M021 M391 M395 M267 M099 M342 M176 M267,START END CORE END END END END END,2 1 0 3 3 3 3 3,8
seal_251,H-0089,Harappa,elephant,M125 M267 M391,END END END,1 3 1,3
seal_252,H-0090,Harappa,zebu bull,M073 M149 M087 M267 M099 M342 M162,START LINK END END END END END,2 0 1 3 3 3 1,7
seal_253,K-0018,Kalibangan,unicorn,M075 M211 M342 M394 M125,START END END CORE END,2 1 3 0 1,5
seal_254,H-0091,Harappa,elephant,M040 M265 M237 M099 M267,START CORE LINK END END,2 0 0 3 3,5
seal_255,M-0083,Mohenjo-daro,unicorn,M038 M099 M065 M342 M162,START END END END END,2 3 1 3 1,5
seal_256,L-0022,Lothal,zebu bull,M082 M342 M176 M099 M051,START END END END END,2 3 3 3 1,5
seal_257,M-0084,Mohenjo-daro,tiger,M089 M342 M328 M065,END END END END,1 3 1 1,4
seal_258,M-0085,Mohenjo-daro,unicorn,M026 M305,START END,2 1,2
seal_259,BN-0010,Banawali,zebu bull,M051 M267 M397 M176 M169 M125,END END CORE END LINK END,1 3 0 3 0 1,6
seal_260,M-0086,Mohenjo-daro,buffalo,M061 M065,START END,2 1,2
seal_261,DK-0014,Dholavira,geometric,M052 M211 M051,START END END,2 1 1,3
seal_262,M-0087,Mohenjo-daro,rhinoceros,M068 M342 M087 M214 M065,START END END CORE END,2 3 1 0 1,5
seal_263,RGR-0007,Rakhigarhi,tiger,M011 M342 M211,START END END,2 3 1,3
seal_264,BN-0011,Banawali,script only,M044 M099 M059,START END LINK,2 3 1,3
seal_265,M-0088,Mohenjo-daro,script only,M065 M267 M099 M125 M087 M305,END END END END END END,1 3 3 1 1 1,6
seal_266,SK-0007,Surkotada,geometric,M020 M229 M267 M099 M267,START CORE END END END,2 0 3 3 3,5
seal_267,DK-0015,Dholavira,unicorn,M099 M399 M065 M342 M176,END CORE END END END,3 0 1 3 3,5
seal_268,H-0092,Harappa,unicorn,M065 M048,END END,1 1,2
seal_269,L-0023,Lothal,unicorn,M035 M127 M174 M065,START LINK CORE END,2 0 0 1,4
seal_270,M-0089,Mohenjo-daro,elephant,M039 M185 M391,START LINK END,2 0 1,3
seal_271,M-0090,Mohenjo-daro,rhinoceros,M037 M065,START END,2 1,2
